1	成长奖励	主角等级达到2级	4001	0	0	2	-1	2,-1,10|1,-1,2000	-1	2	1	120	1	0
2	成长奖励	主角等级达到4级	4001	0	0	4	-1	2,-1,10|1,-1,2500	1	3	1	120	1	0
3	成长奖励	主角等级达到6级	4001	0	0	6	-1	2,-1,10|1,-1,2500	2	4	1	120	1	0
4	成长奖励	主角等级达到8级	4001	0	0	8	-1	2,-1,10|1,-1,2500	3	5	1	120	1	0
5	成长奖励	主角等级达到10级	4001	0	0	10	-1	2,-1,10|1,-1,2500	4	6	1	120	1	0
6	成长奖励	主角等级达到12级	4001	0	0	12	-1	2,-1,10|1,-1,2500	5	7	1	120	1	0
7	成长奖励	主角等级达到14级	4001	0	0	14	-1	2,-1,10|1,-1,2500	6	8	1	120	1	0
8	成长奖励	主角等级达到16级	4001	0	0	16	-1	2,-1,10|1,-1,2500	7	9	1	120	1	0
9	成长奖励	主角等级达到18级	4001	0	0	18	-1	2,-1,10|1,-1,2500	8	10	1	120	1	0
10	成长奖励	主角等级达到20级	4001	0	0	20	-1	2,-1,10|1,-1,2500	9	11	1	120	1	0
11	成长奖励	主角等级达到22级	4001	0	0	22	-1	2,-1,15|1,-1,4000	10	12	1	120	1	0
12	成长奖励	主角等级达到24级	4001	0	0	24	-1	2,-1,15|1,-1,4000	11	13	1	120	1	0
13	成长奖励	主角等级达到26级	4001	0	0	26	-1	2,-1,15|1,-1,4000	12	14	1	120	1	0
14	成长奖励	主角等级达到28级	4001	0	0	28	-1	2,-1,15|1,-1,4000	13	15	1	120	1	0
15	成长奖励	主角等级达到30级	4001	0	0	30	-1	2,-1,15|1,-1,4000	14	16	1	120	1	0
16	成长奖励	主角等级达到32级	4001	0	0	32	-1	2,-1,15|1,-1,4000	15	17	1	120	1	0
17	成长奖励	主角等级达到34级	4001	0	0	34	-1	2,-1,15|1,-1,4000	16	18	1	120	1	0
18	成长奖励	主角等级达到36级	4001	0	0	36	-1	2,-1,15|1,-1,4000	17	19	1	120	1	0
19	成长奖励	主角等级达到38级	4001	0	0	38	-1	2,-1,15|1,-1,4000	18	20	1	120	1	0
20	成长奖励	主角等级达到40级	4001	0	0	40	-1	2,-1,15|1,-1,4000	19	21	1	120	1	0
21	成长奖励	主角等级达到41级	4001	0	0	41	-1	2,-1,20|1,-1,5000	20	22	1	120	1	0
22	成长奖励	主角等级达到42级	4001	0	0	42	-1	2,-1,20|1,-1,5000	21	23	1	120	1	0
23	成长奖励	主角等级达到43级	4001	0	0	43	-1	2,-1,20|1,-1,5000	22	24	1	120	1	0
24	成长奖励	主角等级达到44级	4001	0	0	44	-1	2,-1,20|1,-1,5000	23	25	1	120	1	0
