1	1	1	45
2	1	2	60
3	1	3	75
4	1	4	90
5	1	5	105
6	1	6	120
7	1	7	135
8	1	8	150
9	1	9	180
10	1	10	240
11	1	11	300
12	1	12	360
13	1	13	420
14	1	14	480
15	1	15	600
16	1	16	750
17	1	17	900
18	1	18	1050
19	1	19	1200
20	1	20	1200
21	2	1	54
22	2	2	72
23	2	3	90
24	2	4	108
25	2	5	126
26	2	6	144
27	2	7	162
28	2	8	180
29	2	9	216
30	2	10	288
31	2	11	360
32	2	12	432
33	2	13	504
34	2	14	576
35	2	15	720
36	2	16	900
37	2	17	1080
38	2	18	1260
39	2	19	1440
40	2	20	1440
41	3	1	90
42	3	2	120
43	3	3	150
44	3	4	180
45	3	5	210
46	3	6	240
47	3	7	270
48	3	8	300
49	3	9	360
50	3	10	480
51	3	11	600
52	3	12	720
53	3	13	840
54	3	14	960
55	3	15	1200
56	3	16	1500
57	3	17	1800
58	3	18	2100
59	3	19	2400
60	3	20	2400
61	4	1	30
62	4	2	40
63	4	3	50
64	4	4	60
65	4	5	70
66	4	6	80
67	4	7	90
68	4	8	100
69	4	9	120
70	4	10	160
71	4	11	200
72	4	12	240
73	4	13	280
74	4	14	320
75	4	15	400
76	4	16	500
77	4	17	600
78	4	18	700
79	4	19	800
80	4	20	800
81	5	1	36
82	5	2	48
83	5	3	60
84	5	4	72
85	5	5	84
86	5	6	96
87	5	7	108
88	5	8	120
89	5	9	144
90	5	10	192
91	5	11	240
92	5	12	288
93	5	13	336
94	5	14	384
95	5	15	480
96	5	16	600
97	5	17	720
98	5	18	840
99	5	19	960
100	5	20	960
101	6	1	60
102	6	2	80
103	6	3	100
104	6	4	120
105	6	5	140
106	6	6	160
107	6	7	180
108	6	8	200
109	6	9	240
110	6	10	320
111	6	11	400
112	6	12	480
113	6	13	560
114	6	14	640
115	6	15	800
116	6	16	1000
117	6	17	1200
118	6	18	1400
119	6	19	1600
120	6	20	1600
121	7	1	15
122	7	2	20
123	7	3	25
124	7	4	30
125	7	5	35
126	7	6	40
127	7	7	45
128	7	8	50
129	7	9	60
130	7	10	80
131	7	11	100
132	7	12	120
133	7	13	140
134	7	14	160
135	7	15	200
136	7	16	250
137	7	17	300
138	7	18	350
139	7	19	400
140	7	20	400
141	8	1	18
142	8	2	24
143	8	3	30
144	8	4	36
145	8	5	42
146	8	6	48
147	8	7	54
148	8	8	60
149	8	9	72
150	8	10	96
151	8	11	120
152	8	12	144
153	8	13	168
154	8	14	192
155	8	15	240
156	8	16	300
157	8	17	360
158	8	18	420
159	8	19	480
160	8	20	480
