1	1	-1,1,6000|-1,2,50|68,6,5|57,6,10	1	100	1	1,1-1	
2	1	-1,1,8000|-1,2,10|56,6,1|68,6,5	1	100	1	2,1-1	
3	1	-1,1,12000|-1,2,60|56,6,1|68,6,5	1	100	1	3,1-1	
4	1	-1,1,12000|-1,2,60|56,6,1|68,6,5	1	100	1	4,1-1	
5	1	-1,1,10000|-1,2,10|56,6,1|68,6,10	1	100	1	5,1-1	
6	1	-1,1,16000|-1,2,30|56,6,1|68,6,10	1	100	1	6,1-1	
7	1	-1,1,16000|-1,2,60|56,6,1|68,6,10	1	100	1	7,1-1	
8	1	-1,1,12000|-1,2,10|56,6,1|68,6,10	1	100	1	8,1-1	
9	1	-1,1,20000|-1,2,30|56,6,1|68,6,10	1	100	1	9,1-1	
10	1	-1,1,20000|-1,2,60|56,6,1|68,6,10	1	100	1	10,1-1	
11	1	-1,1,14000|-1,2,10|56,6,1|68,6,10	1	100	1	11,1-1	
12	1	-1,1,22000|-1,2,30|56,6,1|68,6,10	1	100	1	12,1-1	
13	1	-1,1,24000|-1,2,60|56,6,1|68,6,10	1	100	1	13,1-1	
14	1	-1,1,16000|-1,2,10|-1,34,1|56,6,1	1	100	1	14,1-1	
15	1	-1,1,24000|-1,2,30|-1,34,1|56,6,1	1	100	1	15,1-1	
16	1	-1,1,28000|-1,2,60|-1,34,1|56,6,1	1	100	1	16,1-1	
17	1	-1,1,18000|-1,2,10|-1,34,1|56,6,1	1	100	1	17,1-1	
18	1	-1,1,26000|-1,2,30|-1,34,1|56,6,1	1	100	1	18,1-1	
19	1	-1,1,32000|-1,2,60|-1,34,1|56,6,1	1	100	1	19,1-1	
20	1	-1,1,20000|-1,2,10|-1,34,1|56,6,1	1	100	1	20,1-1	
21	1	-1,1,28000|-1,2,30|-1,34,1|56,6,1	1	100	1	21,1-1	
22	1	-1,1,34000|-1,2,60|-1,34,1|56,6,1	1	100	1	22,1-1	
23	1	-1,1,22000|-1,2,10|-1,34,1|56,6,1	1	100	1	23,1-1	
24	1	-1,1,30000|-1,2,30|-1,34,1|56,6,1	1	100	1	24,1-1	
25	1	-1,1,35000|-1,2,60|-1,34,1|56,6,1	1	100	1	25,1-1	
26	1	-1,1,24000|-1,2,10|-1,34,1|56,6,1	1	100	1	26,1-1	
27	1	-1,1,32000|-1,2,30|-1,34,1|56,6,1	1	100	1	27,1-1	
28	1	-1,1,40000|-1,2,60|-1,34,1|56,6,1	1	100	1	28,1-1	
29	1	-1,1,26000|-1,2,10|-1,34,1|56,6,1	1	100	1	29,1-1	
30	1	-1,1,34000|-1,2,30|-1,34,1|56,6,1	1	100	1	30,1-1	
31	1	-1,1,45000|-1,2,60|-1,34,1|56,6,1	1	100	1	31,1-1	
32	1	-1,1,28000|-1,2,10|-1,34,1|56,6,1	1	100	1	32,1-1	
