1	1	2	1,300|2,160	-1	3	188	1	0,2,1654
2	1	3	1,600|2,320	-1	4	388	1	0,2,1655
3	2	6	1,300|2,160	-1	3	188	1	0,2,1658
4	2	7	1,600|2,320	-1	4	388	1	0,2,1659
5	3	10	1,300|2,160	-1	3	288	1	0,2,1662,1945
6	3	11	1,600|2,320	-1	4	588	1	0,2,1663,1945
7	4	14	1,300|2,160	-1	3	288	1	0,2,1666
8	4	15	1,600|2,320	-1	4	588	1	0,2,1667
9	5	18	1,300|2,160	-1	3	288	1	0,2,1670,1946,1947
10	5	19	1,600|2,320	-1	4	588	1	0,2,1671,1946,1947
11	6	22	1,300|2,160	-1	3	188	1	0,2,1674,1948
12	6	23	1,600|2,320	-1	4	388	1	0,2,1675,1948
13	7	26	1,300|2,160	-1	3	188	1	0,2,1678,1949
14	7	27	1,600|2,320	-1	4	388	1	0,2,1679,1949
15	8	30	1,300|2,160	-1	3	288	1	0,2,1682
16	8	31	1,600|2,320	-1	4	588	1	0,2,1683
17	9	34	1,300|2,160	-1	3	188	1	0,2,1686,1950
18	9	35	1,600|2,320	-1	4	388	1	0,2,1687,1950
19	10	38	1,300|2,160	-1	3	188	1	0,2,1690
20	10	39	1,600|2,320	-1	4	388	1	0,2,1691
21	11	42	1,300|2,160	-1	3	288	1	0,2,1694
22	11	43	1,600|2,320	-1	4	588	1	0,2,1695
23	12	46	1,300|2,160	-1	3	288	1	0,2,1698
24	12	47	1,600|2,320	-1	4	588	1	0,2,1699
25	13	49	1,150|2,80	-1	2	88	1	0,2,1701
26	13	50	1,300|2,160	-1	3	188	1	0,2,1702
27	13	51	1,600|2,320	-1	4	388	1	0,2,1703
28	14	54	1,300|2,160	-1	3	188	1	0,2,1706
29	14	55	1,600|2,320	-1	4	388	1	0,2,1707
30	15	58	1,300|2,160	-1	3	188	1	0,2,1710
31	15	59	1,600|2,320	-1	4	388	1	0,2,1711
32	16	62	1,300|2,160	-1	3	188	1	0,2,1714
33	16	63	1,600|2,320	-1	4	388	1	0,2,1715
34	17	66	1,300|2,160	-1	3	188	1	0,2,1718
35	17	67	1,600|2,320	-1	4	388	1	0,2,1719
36	18	70	1,300|2,160	-1	3	188	1	0,2,1722
37	18	71	1,600|2,320	-1	4	388	1	0,2,1723
38	19	74	1,300|2,160	-1	3	188	1	0,2,1726
39	19	75	1,600|2,320	-1	4	388	1	0,2,1727
40	20	78	1,300|2,160	-1	3	188	1	0,2,1730,1951
41	20	79	1,600|2,320	-1	4	388	1	0,2,1731,1951
42	21	82	1,300|2,160	-1	3	288	1	0,2,1734
43	21	83	1,600|2,320	-1	4	588	1	0,2,1735
44	22	86	1,300|2,160	-1	3	188	1	0,2,1738
45	22	87	1,600|2,320	-1	4	388	1	0,2,1739
46	23	90	1,300|2,160	-1	3	188	1	0,2,1742
47	23	91	1,600|2,320	-1	4	388	1	0,2,1743
48	24	94	1,300|2,160	-1	3	188	1	0,2,1746
49	24	95	1,600|2,320	-1	4	388	1	0,2,1747
50	25	98	1,300|2,160	-1	3	188	1	0,2,1750
51	25	99	1,600|2,320	-1	4	388	1	0,2,1751
52	26	102	1,300|2,160	-1	3	188	1	0,2,1754
53	26	103	1,600|2,320	-1	4	388	1	0,2,1755
54	27	106	1,300|2,160	-1	3	288	1	0,2,1758
55	27	107	1,600|2,320	-1	4	588	1	0,2,1759
56	28	110	1,300|2,160	-1	3	188	0	0,2,1762
57	28	111	1,600|2,320	-1	4	388	0	0,2,1763
58	29	114	1,300|2,160	-1	3	188	1	0,2,1766
59	29	115	1,600|2,320	-1	4	388	1	0,2,1767
60	30	118	1,300|2,160	-1	3	288	1	0,2,1770,1952
61	30	119	1,600|2,320	-1	4	588	1	0,2,1771,1952
62	31	122	1,300|2,160	-1	3	188	1	0,2,1774
63	31	123	1,600|2,320	-1	4	388	1	0,2,1775
64	32	126	1,300|2,160	-1	3	188	1	0,2,1778
65	32	127	1,600|2,320	-1	4	388	1	0,2,1779
66	33	130	1,300|2,160	-1	3	188	1	0,2,1782
67	33	131	1,600|2,320	-1	4	388	1	0,2,1783
