1	6,69,10	1,-1,60000	1	2800	1	1,24	8
2	6,70,10	1,-1,60000	1	2800	1	1,24	8
3	6,71,10	1,-1,60000	1	2800	1	1,24	8
4	6,72,10	1,-1,60000	1	2800	1	16,34	8
5	6,73,10	1,-1,60000	1	2800	1	16,34	8
6	6,74,10	1,-1,60000	1	2800	1	16,34	8
7	6,75,10	1,-1,60000	1	2800	1	20,44	8
8	6,76,10	1,-1,60000	1	2800	1	20,44	8
9	6,77,10	1,-1,60000	1	2800	1	20,44	8
10	6,78,10	1,-1,72000	1	2800	1	22,49	8
11	6,79,10	1,-1,72000	1	2800	1	22,49	8
12	6,80,10	1,-1,72000	1	2800	1	22,49	8
13	6,81,10	1,-1,84000	1	2800	1	35,54	8
14	6,82,10	1,-1,84000	1	2800	1	35,54	8
15	6,83,10	1,-1,84000	1	2800	1	35,54	8
16	6,84,10	1,-1,96000	1	2800	1	45,69	8
17	6,85,10	1,-1,96000	1	2800	1	45,69	8
18	6,86,10	1,-1,96000	1	2800	1	45,69	8
19	6,87,10	1,-1,108000	1	2800	1	55,79	8
20	6,88,10	1,-1,108000	1	2800	1	55,79	8
21	6,89,10	1,-1,108000	1	2800	1	55,79	8
22	6,90,10	1,-1,120000	1	2800	1	65,89	8
23	6,91,10	1,-1,120000	1	2800	1	65,89	8
24	6,92,10	1,-1,120000	1	2800	1	65,89	8
25	6,93,10	1,-1,132000	1	2800	1	75,99	8
26	6,94,10	1,-1,132000	1	2800	1	75,99	8
27	6,95,10	1,-1,132000	1	2800	1	75,99	8
28	6,96,10	1,-1,160000	1	2800	1	80,109	8
29	6,97,10	1,-1,160000	1	2800	1	80,109	8
30	6,98,10	1,-1,160000	1	2800	1	80,109	8
31	6,99,10	1,-1,176000	1	2800	1	85,109	8
32	6,100,10	1,-1,176000	1	2800	1	85,109	8
33	6,101,10	1,-1,176000	1	2800	1	85,109	8
34	6,102,10	1,-1,184000	1	2800	1	90,109	8
35	6,103,10	1,-1,184000	1	2800	1	90,109	8
36	6,104,10	1,-1,184000	1	2800	1	90,109	8
37	6,69,20	1,-1,120000	1	2800	1	1,24	8
38	6,70,20	1,-1,120000	1	2800	1	1,24	8
39	6,71,20	1,-1,120000	1	2800	1	1,24	8
40	6,72,20	1,-1,120000	1	2800	1	16,34	8
41	6,73,20	1,-1,120000	1	2800	1	16,34	8
42	6,74,20	1,-1,120000	1	2800	1	16,34	8
43	6,75,20	1,-1,120000	1	2800	1	20,44	8
44	6,76,20	1,-1,120000	1	2800	1	20,44	8
45	6,77,20	1,-1,120000	1	2800	1	20,44	8
46	6,78,20	1,-1,144000	1	2800	1	22,49	8
47	6,79,20	1,-1,144000	1	2800	1	22,49	8
48	6,80,20	1,-1,144000	1	2800	1	22,49	8
49	6,81,20	1,-1,168000	1	2800	1	35,54	8
50	6,82,20	1,-1,168000	1	2800	1	35,54	8
51	6,83,20	1,-1,168000	1	2800	1	35,54	8
52	6,84,20	1,-1,192000	1	2800	1	45,69	8
53	6,85,20	1,-1,192000	1	2800	1	45,69	8
54	6,86,20	1,-1,192000	1	2800	1	45,69	8
55	6,87,20	1,-1,216000	1	2800	1	55,79	8
