1	0	6,229,1	2,-1,1	-1	-1
2	0	6,230,1	2,-1,2	-1	-1
3	0	6,231,1	2,-1,3	-1	-1
4	0	6,232,1	2,-1,6	-1	-1
5	0	6,233,1	2,-1,15	-1	-1
6	0	6,234,1	2,-1,40	-1	-1
7	5	6,24,2	6,324,12	-1	-1
8	5	6,38,2	6,324,7	-1	-1
9	5	6,24,1	6,323,7	-1	-1
10	5	6,38,1	6,323,4	-1	-1
11	6	6,223,1	5,-1,24	2	-1
12	6	7,104,1	5,-1,600	3	-1
13	6	7,109,1	5,-1,600	4	-1
14	6	7,125,1	5,-1,600	5	-1
15	6	7,117,1	5,-1,600	6	-1
16	6	7,122,1	5,-1,600	7	-1
17	6	7,119,1	5,-1,360	8	-1
18	6	7,141,1	5,-1,120	9	-1
19	6	7,142,1	5,-1,120	10	-1
20	6	7,113,1	5,-1,360	11	-1
21	6	7,131,1	5,-1,600	12	-1
22	6	7,127,1	5,-1,600	13	-1
23	6	7,105,1	5,-1,800	14	-1
24	6	7,116,1	5,-1,240	20	-1
25	6	7,115,1	5,-1,240	21	-1
26	6	7,106,1	5,-1,240	22	-1
27	6	7,123,1	5,-1,240	23	-1
28	6	7,126,1	5,-1,240	24	-1
29	6	7,128,1	5,-1,240	25	-1
30	6	7,108,1	5,-1,360	26	-1
31	6	7,139,1	5,-1,120	27	-1
32	6	7,140,1	5,-1,120	28	-1
33	6	7,111,1	5,-1,600	30	-1
34	6	7,114,1	5,-1,600	31	-1
35	6	7,110,1	5,-1,800	32	-1
36	6	7,94,1	5,-1,1200	1	1
37	6	7,92,1	5,-1,1200	1	1
38	6	7,100,1	5,-1,1200	1	1
39	6	7,93,1	5,-1,1200	1	1
40	6	7,97,1	5,-1,1200	1	1
41	6	6,207,1	5,-1,300	19	1
42	6	6,209,1	5,-1,240	19	1
43	6	6,210,1	5,-1,240	19	1
44	6	6,211,1	5,-1,240	19	1
45	6	6,212,1	5,-1,360	19	1
46	6	6,216,1	5,-1,240	19	1
47	6	6,217,1	5,-1,240	19	1
48	6	6,218,1	5,-1,300	19	1
49	6	6,219,1	5,-1,240	19	1
50	6	6,220,1	5,-1,240	19	1
51	6	6,221,1	5,-1,360	19	1
52	6	6,222,1	5,-1,360	19	1
53	7	6,15,2	6,320,15	-1	-1
54	7	6,50,2	6,320,7	-1	-1
55	7	6,33,2	6,320,12	-1	-1
56	7	6,49,2	6,320,7	-1	-1
