1	5000	68	1	69	1	70	1	71	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
2	10000	68	10	69	2	70	2	71	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
3	15000	68	15	72	6	73	3	74	3	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1
4	20000	68	20	72	12	73	4	74	4	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	1
5	25000	68	30	75	18	76	6	77	6	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	1
6	30000	68	40	78	24	79	8	80	8	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	1
7	35000	68	60	78	30	79	10	80	10	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	1
8	40000	68	90	81	45	82	15	83	15	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	1
9	50000	68	120	81	60	82	20	83	20	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	1
10	60000	68	200	84	96	85	32	86	32	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	1
11	80000	68	320	84	144	85	48	86	48	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	1
12	100000	68	400	87	192	88	64	89	64	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	1
13	120000	68	600	87	288	88	96	89	96	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	1
14	140000	68	800	90	384	91	128	92	128	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	1
15	160000	68	1250	90	600	91	200	92	200	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	1
16	180000	68	1600	93	900	94	300	95	300	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	1
