1	10001	15001	-1	-1	-1	-1	-1	-1	-1	-1	100	2	0	0	66	-1	3	1	1
2	10002	15002	-1	-1	-1	-1	1	1	6	12,41,200,0.7,-1,3,0,0,2;3,0	100	3	0	0	-1	-1	5	1	2
3	10003	15003	5,7	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	5,0.1	3	1	3
4	10004	15004	-1	-1	-1	-1	6	-1	-1	45,77,0,0.1,75;1|45,80,0,0.001,76;1|25,77,5,0,1,60,75,1,0;21,0|25,80,0.05,0,1,60,76,1,0;21,0|25,81,0.4,0,1,60,77,1,0;21,0	100	-1	0	0	-1	-1	6	1	3
5	10005	15005	33,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	33,0.05	4	1	3
6	10006	15006	34,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	34,0.05	4	1	3
7	10007	15001	-1	-1	-1	-1	-1	-1	-1	-1	100	5	0	0	66	-1	3	101222	1
8	10008	15002	-1	-1	-1	-1	1	1	6	12,41,200,0.7,-1,3,0,0,2;3,0	100	6	0	0	-1	-1	5	101232	2
9	10009	15003	5,7	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	5,0.1	3	3	3
10	10010	15004	-1	-1	-1	-1	6	-1	-1	45,77,0,0.1,75;1|45,80,0,0.001,76;1|25,77,5,0,1,60,75,1,0;21,0|25,80,0.05,0,1,60,76,1,0;21,0|25,81,0.4,0,1,60,77,1,0;21,0	100	-1	0	0	-1	-1	6	101242	3
11	10011	15005	33,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	33,0.05	4	1	3
12	10012	15006	34,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	34,0.05	4	2	3
13	10013	15001	-1	-1	-1	-1	-1	-1	-1	-1	100	8	0	0	66	-1	3	101223	1
14	10014	15002	-1	-1	-1	-1	1	1	6	12,41,200,0.7,-1,3,0,0,2;3,0	100	9	0	0	-1	-1	5	101233	2
15	10015	15003	5,7	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	5,0.1	3	3	3
16	10016	15004	-1	-1	-1	-1	6	-1	-1	45,77,0,0.1,75;1|45,80,0,0.001,76;1|25,77,5,0,1,60,75,1,0;21,0|25,80,0.05,0,1,60,76,1,0;21,0|25,81,0.4,0,1,60,77,1,0;21,0	100	-1	0	0	-1	-1	6	101243	3
17	10017	15005	33,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	33,0.05	4	1	3
18	10018	15006	34,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	34,0.05	4	2	3
19	10019	15001	-1	-1	-1	-1	-1	-1	-1	-1	100	11	0	0	66	-1	3	101224	1
20	10020	15002	-1	-1	-1	-1	1	1	6	12,41,200,0.7,-1,3,0,0,2;3,0	100	12	0	0	-1	-1	5	101234	2
21	10021	15003	5,7	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	5,0.1	3	3	3
22	10022	15004	-1	-1	-1	-1	6	-1	-1	45,77,0,0.1,75;1|45,80,0,0.001,76;1|25,77,5,0,1,60,75,1,0;21,0|25,80,0.05,0,1,60,76,1,0;21,0|25,81,0.4,0,1,60,77,1,0;21,0	100	-1	0	0	-1	-1	6	101244	3
23	10023	15005	33,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	33,0.05	4	1	3
24	10024	15006	34,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	34,0.05	4	2	3
25	10025	15007	-1	-1	-1	-1	1	1	29	24,54,0,2,0.1,1.2,-1,33,0,0;2,0|29,54,0.1,3,2,1,1,-1,33,0,0;2,0	100	14	0	0	66	-1	3	1	1
26	10026	15008	-1	-1	-1	-1	1	1	6	24,54,0,2,0.08,0.96,-1,33,0,0;2,0	100	15	0	0	-1	-1	5	1	2
27	10027	15009	5,7	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	5,0.1	3	1	3
28	10028	15010	-1	-1	22	33,0.02!33,0.0002	-1	-1	-1	-1	100	-1	0	0	-1	-1	6	1	3
29	10029	15011	33,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	33,0.05	4	1	3
30	10030	15012	34,5	-1	-1	-1	-1	-1	-1	-1	100	-1	0	0	-1	34,0.05	4	1	3
31	10031	15007	-1	-1	-1	-1	1	1	29	24,54,0,2,0.1,1.2,-1,33,0,0;2,0|29,54,0.1,3,2,1,1,-1,33,0,0;2,0	100	17	0	0	66	-1	3	100422	1
