1	1	1	1	-1	-1	-1	-1	-1	-1	10	10000	-1	-1	-1
2	1	2	1	-1	-1	-1	-1	-1	-1	20	50000	-1	-1	-1
3	1	3	1	-1	-1	-1	-1	-1	-1	50	200000	-1	-1	-1
4	1	4	1	-1	-1	-1	-1	-1	-1	100	600000	-1	-1	-1
5	1	5	1	-1	-1	-1	-1	-1	-1	160	1200000	-1	-1	-1
6	1	6	1	-1	-1	-1	-1	-1	-1	240	2000000	-1	-1	-1
7	1	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8	2	1	1	-1	-1	-1	-1	-1	-1	20	10000	-1	-1	-1
9	2	2	1	-1	-1	-1	-1	-1	-1	40	50000	-1	-1	-1
10	2	3	1	-1	-1	-1	-1	-1	-1	80	200000	-1	-1	-1
11	2	4	1	-1	-1	-1	-1	-1	-1	150	600000	-1	-1	-1
12	2	5	1	-1	-1	-1	-1	-1	-1	240	1200000	-1	-1	-1
13	2	6	1	-1	-1	-1	-1	-1	-1	360	2000000	-1	-1	-1
14	2	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
15	3	1	1	-1	-1	-1	-1	-1	-1	15	10000	-1	-1	-1
16	3	2	1	-1	-1	-1	-1	-1	-1	30	50000	-1	-1	-1
17	3	3	1	-1	-1	-1	-1	-1	-1	60	200000	-1	-1	-1
18	3	4	1	-1	-1	-1	-1	-1	-1	120	600000	-1	-1	-1
19	3	5	1	-1	-1	-1	-1	-1	-1	200	1200000	-1	-1	-1
20	3	6	1	-1	-1	-1	-1	-1	-1	300	2000000	-1	-1	-1
21	3	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
