1	1	1	-1	19010	99	-1	-1	-1	-1
2	1	5	其他	19004	48	83	-1	-1	-1
3	1	1	-1	19010	99	-1	-1	-1	-1
4	1	1	-1	19010	99	-1	-1	-1	-1
5	1	1	-1	19010	99	-1	-1	-1	-1
6	1	1	-1	19010	99	-1	-1	-1	-1
7	1	1	-1	19010	99	-1	-1	-1	-1
8	1	1	-1	19010	99	-1	-1	-1	-1
9	1	1	-1	19010	99	-1	-1	-1	-1
10	1	1	-1	19010	99	-1	-1	-1	-1
11	1	1	-1	19010	99	-1	-1	-1	-1
12	1	1	-1	19010	99	-1	-1	-1	-1
13	1	3	精英	50|18028	14	108	2	494	-1
14	1	3	精英	51|18113	14	108	11	537	-1
15	1	5	其他	19002	47	82	-1	-1	-1
16	1	3	精英	102|18083	14	108	8	522	-1
17	1	3	精英	59|18162	14	108	16	561	-1
18	1	3	精英	63|18072	14	108	7	516	-1
19	1	3	精英	63|18092	14	108	9	526	-1
20	1	3	精英	67|18151	14	108	15	555	-1
21	1	3	精英	71|18153	14	108	15	557	-1
22	1	3	精英	1	14	108	22	1	-1
23	1	5	其他	19004	48	83	-1	-1	-1
24	1	3	精英	1	14	108	21	1	-1
25	1	3	精英	1	14	108	19	1	-1
26	1	6	竞技商店	19005	28	117	-1	-1	-1
27	1	5	其他	19002	47	82	-1	-1	-1
28	1	3	精英	1	14	108	22	1	-1
29	1	6	试炼商店	19003	29	118	-1	-1	-1
30	1	3	精英	1	14	108	20	1	-1
31	1	5	其他	19006	49	81	-1	-1	-1
32	1	3	精英	94|18062	14	108	6	511	-1
33	1	3	精英	171|18143	14	108	14	552	-1
34	1	6	试炼商店	19003	29	118	-1	-1	-1
35	1	3	精英	99|18053	14	108	5	507	-1
36	1	3	精英	200|18142	14	108	14	551	-1
37	1	3	精英	102|18163	14	108	16	562	-1
38	1	3	精英	1	14	108	20	1	-1
39	1	6	试炼商店	19003	29	118	-1	-1	-1
40	1	6	矿战商店	19020	99	-1	-1	-1	-1
41	1	3	精英	95|18149	14	108	15	553	-1
42	1	3	精英	1	14	108	22	1	-1
43	1	3	精英	163|18103	14	108	10	532	-1
44	1	3	精英	135|18141	14	108	14	550	-1
45	1	3	精英	1	14	108	21	1	-1
46	1	6	试炼商店	19003	29	118	-1	-1	-1
47	1	3	精英	223|18169	14	108	17	563	-1
48	1	3	精英	1	14	108	21	1	-1
49	1	6	公会商店	19001	25	119	-1	-1	-1
50	1	3	精英	111|18123	14	108	12	542	-1
51	1	3	精英	1	14	108	18	1	-1
52	1	5	其他	19002	47	82	-1	-1	-1
53	1	3	精英	130|18073	14	108	7	517	-1
54	1	3	精英	70|18140	14	108	14	549	-1
55	1	3	精英	135|18133	14	108	13	547	-1
56	1	3	精英	1	14	108	20	1	-1
57	1	6	竞技商店	19005	28	117	-1	-1	-1
58	1	3	精英	139|18130	14	108	13	544	-1
59	1	3	精英	63|18170	14	108	17	564	-1
60	1	3	精英	191|18161	14	108	16	560	-1
61	1	6	探索商店	19007	40	138	-1	-1	-1
62	1	3	精英	98|18131	14	108	13	545	-1
63	1	5	其他	19006	49	81	-1	-1	-1
64	1	3	精英	190|18171	14	108	17	565	-1
65	1	6	探索商店	19007	40	138	-1	-1	-1
66	1	5	其他	19006	49	81	-1	-1	-1
67	1	6	公会商店	19001	25	119	-1	-1	-1
68	1	3	精英	162|18070	14	108	7	514	-1
69	1	3	精英	163|18152	14	108	15	556	-1
70	1	6	竞技商店	19005	28	117	-1	-1	-1
71	1	3	精英	162|18035	14	108	3	497	-1
72	1	3	精英	167|18132	14	108	13	546	-1
73	1	6	公会商店	19001	25	119	-1	-1	-1
74	1	3	精英	163|18060	14	108	6	509	-1
75	1	3	精英	176|18150	14	108	15	554	-1
76	1	6	竞技商店	19005	28	117	-1	-1	-1
77	1	3	精英	174|18024	14	108	1	490	-1
78	1	3	精英	175|18110	14	108	11	534	-1
79	1	3	精英	1	14	108	18	1	-1
80	1	3	精英	178|18044	14	108	4	502	-1
81	1	3	精英	191|18093	14	108	9	527	-1
82	1	6	竞技商店	19005	28	117	-1	-1	-1
83	1	3	精英	183|18063	14	108	6	512	-1
84	1	3	精英	203|18122	14	108	12	541	-1
85	1	3	精英	1	14	108	19	1	-1
86	1	3	精英	186|18034	14	108	3	496	-1
87	1	3	精英	187|18082	14	108	8	521	-1
88	1	3	精英	187|18172	14	108	17	566	-1
89	1	3	精英	190|18041	14	108	4	499	-1
90	1	3	精英	190|18081	14	108	8	520	-1
91	1	5	其他	19002	47	82	-1	-1	-1
92	1	3	精英	130|18091	14	108	9	525	-1
93	1	3	精英	1	14	108	18	1	-1
94	1	5	其他	19002	47	82	-1	-1	-1
95	1	3	精英	198|18036	14	108	3	498	-1
96	1	3	精英	199|18102	14	108	10	531	-1
97	1	6	试炼商店	19003	29	118	-1	-1	-1
98	1	3	精英	202|18026	14	108	2	492	-1
