1	1	4800	34	38	42	47
2	2	4800	35	39	43	48
3	3	4800	36	40	44	49
4	4	4800	37	41	46	51
5	5	4800	38	42	47	52
6	6	4800	39	43	48	53
7	7	4800	40	44	49	54
8	8	4800	41	46	51	57
9	9	4800	42	47	52	58
10	10	4800	43	48	53	59
11	11	4800	44	49	54	60
12	12	4800	45	50	55	61
13	13	4800	46	51	57	63
14	14	4800	47	52	58	64
15	15	4800	48	53	59	65
16	16	4800	49	54	60	66
17	17	4800	50	55	61	68
18	18	4800	51	57	63	70
19	19	4800	52	58	64	71
20	20	4800	10	10	10	10
21	21	4800	10	10	10	10
22	22	4800	10	10	10	10
23	23	4800	10	10	10	10
24	24	4800	10	10	10	10
25	25	4800	10	10	10	10
26	26	4800	10	10	10	10
27	27	4800	10	10	10	10
28	28	4800	10	10	10	10
29	29	4800	10	10	10	10
30	30	4800	10	10	10	10
31	31	8640	18	18	18	18
32	32	8640	18	18	18	18
33	33	8640	18	18	18	18
34	34	8640	18	18	18	18
35	35	8640	18	18	18	18
36	36	8640	18	18	18	18
37	37	8640	18	18	18	18
38	38	8640	18	18	18	18
39	39	8640	18	18	18	18
40	40	8640	18	18	18	18
41	41	12480	26	26	26	26
42	42	12480	26	26	26	26
43	43	12480	26	26	26	26
44	44	12480	26	26	26	26
45	45	12480	26	26	26	26
46	46	16320	34	34	34	34
47	47	16320	34	34	34	34
48	48	16320	34	34	34	34
49	49	16320	34	34	34	34
50	50	16320	34	34	34	34
51	51	20160	42	42	42	42
52	52	20160	42	42	42	42
53	53	20160	42	42	42	42
54	54	20160	42	42	42	42
55	55	20160	42	42	42	42
56	56	24000	50	50	50	50
57	57	24000	50	50	50	50
58	58	24000	50	50	50	50
59	59	24000	50	50	50	50
60	60	24000	50	50	50	50
61	61	28800	60	60	60	60
62	62	28800	60	60	60	60
63	63	28800	60	60	60	60
64	64	28800	60	60	60	60
65	65	28800	60	60	60	60
66	66	33600	70	70	70	70
67	67	33600	70	70	70	70
68	68	33600	70	70	70	70
69	69	33600	70	70	70	70
70	70	33600	70	70	70	70
71	71	38400	80	80	80	80
72	72	38400	80	80	80	80
73	73	38400	80	80	80	80
74	74	38400	80	80	80	80
75	75	38400	80	80	80	80
76	76	38400	90	90	90	90
77	77	43200	90	90	90	90
78	78	43200	90	90	90	90
79	79	43200	90	90	90	90
80	80	43200	90	90	90	90
81	81	43200	90	90	90	90
82	82	43200	90	90	90	90
83	83	43200	90	90	90	90
84	84	43200	90	90	90	90
85	85	43200	90	90	90	90
86	86	57600	120	120	120	120
87	87	57600	120	120	120	120
88	88	57600	120	120	120	120
89	89	57600	120	120	120	120
90	90	57600	120	120	120	120
91	91	72000	150	150	150	150
92	92	72000	150	150	150	150
93	93	72000	150	150	150	150
94	94	72000	150	150	150	150
95	95	72000	150	150	150	150
96	96	86400	180	180	180	180
97	97	86400	180	180	180	180
98	98	86400	180	180	180	180
99	99	86400	180	180	180	180
100	100	86400	180	180	180	180
