1	2001	3001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3001	-1	20070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	17	0	-1	-1	-1	3	-1	-1
2	2002	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101202	300,-1	30000	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	1	15
3	2003	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100402	300,-1	30010	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	2	15
4	2004	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100902	300,-1	30020	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	3	15
5	2005	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100302	300,-1	30030	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	4	15
6	2006	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100702	300,-1	30040	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	-1	15
7	2007	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101502	300,-1	30050	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	6	15
8	2008	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102102	300,-1	30060	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	-1	15
9	2009	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108202	300,-1	30070	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	-1	15
10	2010	3002	0	0	0	0	0	1	150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100102	300,-1	30080	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	4	0	0	0	0	0	0	1	0	18	0	-1	-1	-1	3	9	15
