1	1	1	1	0	1,-1,150000	1,135|2,58|0,1111	150
2	1	1	2	0	1,-1,480000	1,180|2,77|0,1479	210
3	1	1	3	1	2,-1,98	1,224|2,96|0,1845	260
4	1	1	4	1	2,-1,480	1,269|2,115|0,2222	310
5	1	2	1	0	1,-1,180000	1,269|2,115|0,2222	310
6	1	2	2	0	1,-1,580000	1,329|2,140|0,2712	380
7	1	2	3	1	2,-1,128	1,373|2,159|0,3078	430
8	1	2	4	1	2,-1,620	1,448|2,191|0,3701	520
9	1	3	1	0	1,-1,210000	1,410|2,175|0,3390	520
10	1	3	2	0	1,-1,720000	1,468|2,199|0,3867	570
11	1	3	3	1	2,-1,158	1,522|2,222|0,4312	620
12	1	3	4	1	2,-1,780	1,597|2,255|0,4934	690
13	1	4	1	0	1,-1,240000	1,560|2,238|0,4623	690
14	1	4	2	0	1,-1,880000	1,616|2,262|0,5089	740
15	1	4	3	1	2,-1,198	1,672|2,286|0,5555	800
16	1	4	4	1	2,-1,900	1,746|2,318|0,6167	860
17	1	5	1	0	1,-1,300000	1,672|2,286|0,5555	860
18	1	5	2	0	1,-1,1280000	1,746|2,318|0,6167	920
19	1	5	3	1	2,-1,258	1,822|2,350|0,6789	970
20	1	5	4	1	2,-1,1180	1,896|2,381|0,7400	1040
21	1	6	1	0	1,-1,480000	1,822|2,350|0,6789	1040
22	1	6	2	0	1,-1,1580000	1,912|2,388|0,7533	1110
23	1	6	3	1	2,-1,328	1,1002|2,426|0,8277	1180
24	1	6	4	1	2,-1,1680	1,1091|2,465|0,9022	1250
25	2	1	1	0	1,-1,150000	1,141|2,55|0,1083	150
26	2	1	2	0	1,-1,480000	1,188|2,73|0,1442	210
27	2	1	3	1	2,-1,98	1,234|2,91|0,1799	260
28	2	1	4	1	2,-1,480	1,281|2,109|0,2166	310
29	2	2	1	0	1,-1,180000	1,281|2,109|0,2166	310
30	2	2	2	0	1,-1,580000	1,343|2,133|0,2644	380
31	2	2	3	1	2,-1,128	1,390|2,151|0,3001	430
32	2	2	4	1	2,-1,620	1,469|2,181|0,3608	520
33	2	3	1	0	1,-1,210000	1,429|2,165|0,3304	520
34	2	3	2	0	1,-1,720000	1,489|2,189|0,3370	570
35	2	3	3	1	2,-1,158	1,546|2,210|0,5403	620
36	2	3	4	1	2,-1,780	1,624|2,241|0,4810	690
37	2	4	1	0	1,-1,240000	1,585|2,226|0,4506	690
38	2	4	2	0	1,-1,880000	1,644|2,248|0,4961	740
39	2	4	3	1	2,-1,198	1,702|2,271|0,5415	800
40	2	4	4	1	2,-1,900	1,780|2,301|0,6012	860
41	2	5	1	0	1,-1,300000	1,702|2,271|0,5415	860
42	2	5	2	0	1,-1,1280000	1,780|2,301|0,6012	920
43	2	5	3	1	2,-1,258	1,859|2,331|0,6618	970
44	2	5	4	1	2,-1,1180	1,936|2,361|0,7214	1040
45	2	6	1	0	1,-1,480000	1,859|2,331|0,6618	1040
