1	1	4	8,0.03,-1	25
2	1	2	6,0.03,-1	14
3	1	3	10,0.03,-1	13
4	1	1	5,0.02,-1	17
5	1	5	41,50,-1	3
6	1	5	41,200,0	5
7	2	4	8,0.03,-1	3
8	2	9	42,0.02,-1	4
9	2	2	6,0.03,-1	6
10	2	3	10,0.03,-1	5
11	2	1	5,0.02,-1	3
12	2	5	41,50,-1	2
13	2	7	40,0.02,-1	4
14	2	5	41,200,0	2
15	2	6	4,20,0	2
16	3	4	8,0.05,-1	8
17	3	2	6,0.06,-1	12
18	3	3	10,0.05,-1	3
19	3	1	5,0.04,-1	3
20	4	4	8,0.08,-1	15
21	4	2	6,0.1,-1	13
22	4	3	10,0.08,-1	9
23	4	1	5,0.06,-1	10
24	4	5	41,200,-1	2
25	4	5	41,500,0	2
26	5	4	8,0.08,-1	1
27	5	1	5,0.06,-1	2
28	5	2	6,0.1,-1	3
29	5	3	10,0.08,-1	5
30	5	1	5,0.06,-1	7
31	5	5	41,200,-1	1
32	5	7	40,0.06,-1	6
33	5	5	41,500,0	2
34	5	6	4,40,0	4
35	6	4	8,0.08,-1	7
36	6	2	6,0.09,-1	1
37	6	3	10,0.08,-1	11
38	6	1	5,0.06,-1	7
39	7	4	8,0.16,-1	10
40	7	2	6,0.2,-1	10
41	7	3	10,0.16,-1	12
42	7	1	5,0.12,-1	12
43	7	5	41,400,-1	5
44	7	5	41,1000,0	2
45	8	4	8,0.16,-1	5
46	8	2	6,0.2,-1	8
47	8	3	10,0.16,-1	1
48	8	1	5,0.12,-1	4
49	8	5	41,400,-1	4
50	8	7	40,0.12,-1	8
51	8	8	999,70,0	1
