1	1	1	1	-1,1,6000-6000,1-1|-1,2,50-50,1-1|68,6,5-5,1-1|57,6,10-10,1-1
2	2	1	1	-1,1,8000-8000,1-1|-1,2,10-10,1-1|68,6,5-5,1-1|56,6,1-1,1-1
3	3	1	1	-1,1,12000-12000,1-1|-1,2,60-60,1-1|68,6,5-5,1-1|56,6,1-1,1-1
4	4	1	1	-1,1,12000-12000,1-1|-1,2,60-60,1-1|68,6,5-5,1-1|56,6,1-1,1-1
5	5	1	1	-1,1,10000-10000,1-1|-1,2,10-10,1-1|68,6,10-10,1-1|56,6,1-1,1-1
6	6	1	1	-1,1,16000-16000,1-1|-1,2,30-30,1-1|68,6,10-10,1-1|56,6,1-1,1-1
7	7	1	1	-1,1,16000-16000,1-1|-1,2,60-60,1-1|68,6,10-10,1-1|56,6,1-1,1-1
8	8	1	1	-1,1,12000-12000,1-1|-1,2,10-10,1-1|68,6,10-10,1-1|56,6,1-1,1-1
9	9	1	1	-1,1,20000-20000,1-1|-1,2,30-30,1-1|68,6,10-10,1-1|56,6,1-1,1-1
10	10	1	1	-1,1,20000-20000,1-1|-1,2,60-60,1-1|68,6,10-10,1-1|56,6,1-1,1-1
11	11	1	1	-1,1,14000-14000,1-1|-1,2,10-10,1-1|68,6,10-10,1-1|56,6,1-1,1-1
12	12	1	1	-1,1,22000-22000,1-1|-1,2,30-30,1-1|68,6,10-10,1-1|56,6,1-1,1-1
13	13	1	1	-1,1,24000-24000,1-1|-1,2,60-60,1-1|68,6,10-10,1-1|56,6,1-1,1-1
14	14	1	1	-1,1,16000-16000,1-1|-1,2,10-10,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
15	15	1	1	-1,1,24000-24000,1-1|-1,2,30-30,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
16	16	1	1	-1,1,28000-28000,1-1|-1,2,60-60,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
17	17	1	1	-1,1,18000-18000,1-1|-1,2,10-10,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
18	18	1	1	-1,1,26000-26000,1-1|-1,2,30-30,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
19	19	1	1	-1,1,32000-32000,1-1|-1,2,60-60,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
20	20	1	1	-1,1,20000-20000,1-1|-1,2,10-10,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
21	21	1	1	-1,1,28000-28000,1-1|-1,2,30-30,1-1|-1,34,1-1,1-1|56,6,1-1,1-1
