1	阵型精通1	34	10	2,5	3
2	前排·生命加强	28	10	3	1,5|4,1,7
3	前排·生命提升	29	10	4	1,10|4,2,7
4	前排·伤害减免	30	10	0	1,15|4,3,7
5	后排·攻击加强	31	10	6	1,5|4,1,7
6	后排·攻击提升	32	10	7	1,10|4,5,7
7	后排·伤害加成	33	10	0	1,15|4,6,7
8	阵型精通2	35	10	9,12,15	3
9	攻·攻击力	10	10	10	1,20|4,8,7
10	攻·伤害减免	14	10	11	1,25|4,9,7
11	攻·伤害加成	13	10	0	1,30|4,10,7
12	技·攻击&生命	22	10	13	1,35|4,8,7
13	技·伤害减免	26	10	14	1,40|4,12,7
14	技·伤害加成	25	10	0	1,45|4,13,7
15	防·生命值	16	10	16	1,50|4,8,7
16	防·伤害减免	20	10	17	1,55|4,15,7
17	防·伤害加成	19	10	0	1,60|4,16,7
18	阵型精通3	36	10	19,22,25	3
19	攻·暴击率	11	10	20	1,70|4,18,7
20	攻·暴击伤害	12	10	21	1,75|4,19,7
21	攻·吸血	15	10	0	1,80|4,20,7
22	技·伤害率	23	10	23	1,70|4,18,7
23	技·免伤率	24	10	24	1,75|4,22,7
24	技·必杀	27	10	0	1,80|4,23,7
25	防·格挡率	17	10	26	1,70|4,18,7
26	防·免伤率	18	10	27	1,75|4,25,7
27	防·反弹	21	10	0	1,80|4,26,7
28	竞技场精通1	37	10	29	3
29	竞技场精通2	38	10	30	1,80|4,28,7
30	竞技场精通3	39	10	0	1,80|4,29,7
31	王者之战精通1	40	10	32	3
32	王者之战精通2	41	10	33	1,80|4,31,7
33	王者之战精通3	42	10	0	1,80|4,32,7
34	公会战精通1	43	10	35	3
35	公会战精通2	44	10	36	1,80|4,34,7
36	公会战精通3	45	10	0	1,80|4,35,7
37	跨服王者精通1	46	10	38	3
38	跨服王者精通2	47	10	39	1,80|4,37,7
39	跨服王者精通3	48	10	0	1,80|4,38,7
40	跨服矿战精通1	49	10	41	3
41	跨服矿战精通2	50	10	42	1,80|4,40,7
42	跨服矿战精通3	51	10	0	1,80|4,41,7
