1	1,1	2,3|3,4|4,5|5,6
2	2,2	1.5,2|2,2.5|2.5,3|3,3.5
3	3,3	1.33,1.66|1.66,2|2,2.33|2.33,2.66
4	4,4	1.25,1.5|1.5,1.75|1.75,2|2,2.25
5	5,5	1.2,1.4|1.6,1.8|2,2.2|2.4,2.6
6	6,6	1.16,1.33|1.5,1.66|1.83,2|2.16,2.33
7	7,7	1.14,1.28|1.42,1.57|1.71,1.85|2,2.14
8	8,8	1.125,1.25|1.375,1.5|1.625,1.875|2,2.125
9	9,9	1.11,1.22|1.33,1.44|1.55,1.66|1.77,1.88
10	10,10	1.1,1.2|1.3,1.4|1.5,1.6|1.7,2
11	11,11	1.09,1.18|1.27,1.36|1.45,1.54|1.63,1.81
12	12,12	0.91,0.91|1.08,1.16|1.25,1.33|1.41,1.66
13	13,13	0.84,0.92|1.07,1.15|1.23,1.3|1.38,1.53
14	14,14	0.78,0.85|0.92,0.92|1.07,1.14|1.21,1.42
15	15,15	0.73,0.8|0.86,0.93|1.06,1.2|1.26,1.4
16	16,16	0.68,0.75|0.81,0.93|1.06,1.18|1.25,1.37
17	17,17	0.64,0.7|0.76,0.82|0.88,0.94|1.05,1.35
18	18,18	0.61,0.66|0.72,0.77|0.83,0.94|1.05,1.33
19	19,19	0.57,0.63|0.68,0.78|0.84,0.94|1.05,1.31
20	20,20	0.55,0.65|0.7,0.8|0.85,0.95|1.05,1.3
21	21,100	0.5,0.65|0.7,0.8|0.85,0.95|1.01,1.3
22	101,500	0.5,0.64|0.65,0.79|0.8,0.98|1.01,1.2
23	501,5000	0.75,0.81|0.82,0.87|0.88,0.99|1.01,1.1
24	5001,999999	0.75,0.79|0.8,0.84|0.85,0.89|0.9,0.95
