1	0	5	20000	0	600000	1	1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1|1,1,1,1,1,1,1,1,1,1	0	0	-1	-1	-1
2	1	1	0	240	0	2	3	31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31	3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3		0	0	33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33	33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33	-1
3	2	0	0	0	0	0	0				0	0	-1	-1	-1
4	3	0	0	2280	0	0	0	32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32		13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15	0	0	11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11	11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11	-1
5	2	0	0	0	0	0	0				0	0	-1	-1	-1
6	2	0	0	0	0	0	0				0	0	-1	-1	-1
7	2	0	0	0	0	0	0				0	0	-1	-1	-1
8	3	0	0	2280	0	0	0			13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15|13,13,13,13,12,12,14,15,15,15	0	0	11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11	11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11	-1
9	5	0	180000	0	0	0	0	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1		5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8|5,5,6,6,7,8,9,10,4,8	0	0	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4	-1
10	6	1	0	80	0	17	16	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16	16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16	16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16|16,16,16,16,16,16,16,16,16,16	0	0	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17	17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17	-1
