1	49	1	7	1,2,3,4,5,6,7,8	7级开放数码兽装备礼包，要努力提升等级哦！
2	50	2	10	1,2,3,4,5,6,7,8	10级开放数码兽上阵礼包，要努力提升等级哦！
3	65	3	13	1,2,3,4,5,6,7,8	13级开放数码兽升级礼包，要努力提升等级哦！
4	66	4	15	1,2,3,4,5,6,7,8	15级开放数码兽突破礼包，要努力提升等级哦！
5	67	5	16	1,2,3,4,5,6,7,8	16级开放扫荡，要努力提升等级哦！
6	63	6	20	1,2,3,4,5,6,7,8	20级开放第5阵位礼包，要努力提升等级哦！
7	64	7	25	1,2,3,4,5,6,7,8,9	25级开放第6阵位，要努力提升等级哦！
8	68	8	30	1,2,3,4,5,6,7,8,9,10	30级开放装备精练，要努力提升等级哦！
9	69	9	32	1,2,3,4,5,6,7,8,9,10,11	32级开放占领礼包，要努力提升等级哦！
10	51	10	35	1,2,3,4,5,6,7,8,9,10,11,12	35级开放数码兽芯片，要努力提升等级哦！
11	52	11	38	1,2,3,4,5,6,7,8,9,10,11,12,13	38级开放联盟，要努力提升等级哦！
12	53	12	40	1,2,3,4,5,6,7,8,9,10,11,12,13,14	40级开放宝物精炼，要努力提升等级哦！
13	54	13	45	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15	45级开放第4援军位，要努力提升等级哦！
14	55	14	50	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16	50级开放数码兽跃迁，要努力提升等级哦！
15	59	15	55	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	55级开放数码兽进化+6，要努力提升等级哦！
16	58	16	60	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18	60级开放新橙色数码兽礼包，要努力提升等级哦！
17	56	17	65	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	65级开放红色数码兽礼包，要努力提升等级哦！
18	57	18	70	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20	70级开放全红时代礼包，要努力提升等级哦！
19	55	19	75	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21	75级开放数码兽跃迁礼包，要努力提升等级哦！
20	60	20	80	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	80级开放新红色数码兽礼包，要努力提升等级哦！
21	61	21	90	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	90级开放红色宝物礼包，要努力提升等级哦！
22	62	22	100	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	100级开放红装礼包，要努力提升等级哦！
