1	0	-1	1	100000	5	1	1000	-1	1
2	0	0	10	50	5	1	2500	-1	2
3	0	0	4	50	5	1	1500	-1	2
4	0	0	2	50	10	1	500	-1	3
5	0	0	34	1	5	1	300	-1	3
6	0	0	8	100	5	1	500	-1	3
7	0	0	8	100	5	1	500	-1	4
8	0	0	63	3	5	1	300	-1	4
9	0	1	1489	1	10	1	500	-1	4
10	0	0	9	50	5	1	500	-1	5
11	0	0	5	100	5	1	500	-1	7
12	0	0	74	1	1	1	10000	1500	7
13	0	0	91	1	1	1	10000	1500	8
14	0	0	91	1	1	1	10000	1500	9
15	2	0	65	10	1	0	500	-1	2
16	2	0	66	10	1	0	1000	-1	3
17	2	0	5	100	1	0	500	-1	4
18	2	-1	1	1000000	1	0	1000	-1	5
19	2	2	28	1	1	0	4000	-1	6
20	2	-1	2	1000	1	0	1000	-1	7
21	2	0	9	200	1	0	2000	-1	8
22	2	0	74	1	1	0	5000	-1	9
23	2	0	91	1	1	0	5000	-1	10
24	1	2	63	1	1	0	60000	2500	1
