1	146	3000	300	1	5	0	3,0.015	4,400|4,300|4,200
2	147	3000	300	1	5	0	4,0.15	3,1200|3,900|3,600
3	148	3000	300	1	5	0	4,0.15	1,400000|1,300000|1,200000
4	149	3000	300	1	5	0	5,0.5	3,1200|3,900|3,600
5	150	3000	300	1	5	0	4,0.15	4,400|4,300|4,200
6	151	3000	300	1	5	0	4,0.15	1,400000|1,300000|1,200000
7	152	3000	300	1	5	0	3,0.015	5,200|5,150|5,100
8	153	3000	300	1	5	0	5,0.5	3,1200|3,900|3,600
9	154	3000	300	1	5	0	4,0.15	1,400000|1,300000|1,200000
10	155	3000	300	1	5	0	4,0.15	2,200|2,150|2,100
11	156	3000	300	1	5	0	3,0.015	1,400000|1,300000|1,200000
12	157	3000	300	1	5	0	5,0.5	5,200|5,150|5,100
13	158	4500	450	1	10	1	4,0.3	2,300|2,225|2,150
14	159	4500	450	1	10	1	5,1	1,600000|1,450000|1,300000
15	160	4500	450	1	10	1	4,0.3	1,600000|1,450000|1,300000
16	161	4500	450	1	10	1	4,0.3	1,600000|1,450000|1,300000
17	162	4500	450	1	10	1	3,0.03	1,600000|1,450000|1,300000
18	163	4500	450	1	10	1	5,1	3,1800|3,1350|3,900
19	164	4500	450	1	10	1	4,0.3	3,1800|3,1350|3,900
20	165	4500	450	1	10	1	4,0.3	3,1800|3,1350|3,900
21	166	6000	600	1	15	2	4,0.45	1,800000|1,600000|1,400000
22	167	6000	600	1	15	2	5,1.5	3,2400|3,1800|3,1200
23	168	7500	750	1	20	3	5,2	1,1000000|1,750000|1,500000
24	169	7500	750	1	20	3	4,0.6	3,3000|3,2250|3,1500
25	170	6000	600	1	15	2	3,0.045	1,800000|1,600000|1,400000
26	171	6000	600	1	15	2	4,0.45	2,400|2,300|2,200
27	172	7500	750	1	20	3	3,0.06	1,1000000|1,750000|1,500000
28	173	7500	750	1	20	3	4,0.6	2,500|2,375|2,250
