1	1	1	1	100000	1000	695	1	0	0
2	1	2	2	90000	900	695	1	0	0
3	1	3	3	80000	800	695	1	0	0
4	1	4	10	70000	700	0	0	0	0
5	1	11	50	65000	650	0	0	0	0
6	1	51	100	60000	600	0	0	0	0
7	1	101	200	55000	550	0	0	0	0
8	1	201	300	50000	500	0	0	0	0
9	1	301	400	45000	450	0	0	0	0
10	1	401	500	40000	400	0	0	0	0
11	1	501	600	35000	350	0	0	0	0
12	1	601	700	30000	300	0	0	0	0
13	1	701	800	25000	250	0	0	0	0
14	1	801	900	20000	200	0	0	0	0
15	1	901	1000	15000	150	0	0	0	0
16	1	1001	99999999	10000	100	0	0	0	0
17	2	-1	-1	80000	800	695	1	0	0
18	3	-1	-1	130000	100	0	0	0	0
