1	1	0	0	0	0	272	1	0	0	0	5	200000	11
2	1	0	0	0	0	376	1	0	0	0	5	200000	11
3	1	0	0	0	0	400	1	0	0	0	5	200000	11
4	1	0	0	0	0	15	1	0	0	0	5	5000	1
5	1	0	0	0	0	16	1	0	0	0	5	8000	1
6	1	0	0	0	0	18	1	0	0	0	5	140000	1
7	1	0	0	0	0	19	1	0	0	0	5	200000	1
8	1	0	0	0	0	12	1	0	0	0	5	5000	1
9	1	0	0	0	0	13	1	0	0	0	5	5000	1
10	1	0	0	0	0	3	1	0	0	0	5	7000	1
11	1	0	0	0	0	6	1	0	0	0	5	15000	1
12	1	0	0	0	0	49	1	0	0	0	5	5000	1
13	1	0	0	0	0	48	1	0	0	0	5	5000	1
14	1	0	0	0	0	50	1	0	0	0	5	5000	1
15	1	0	0	0	0	51	1	0	0	0	5	5000	1
16	1	0	0	0	0	542	1	0	0	0	5	7000	1
17	1	0	0	0	0	543	1	0	0	0	5	7000	1
18	1	0	0	0	0	544	1	0	0	0	5	7000	1
19	1	0	0	0	0	545	1	0	0	0	5	7000	1
20	1	0	0	0	0	546	1	0	0	0	5	7000	1
21	1	0	0	0	0	0	0	114	1	0	5	5000	1
22	1	0	0	0	0	0	0	116	1	0	5	5000	1
23	1	0	0	0	0	14	1	0	0	0	4	2000	1
24	1	0	0	0	0	11	1	0	0	0	4	2000	1
25	1	0	0	0	0	2	1	0	0	0	4	4000	1
26	1	0	0	0	0	5	1	0	0	0	4	8000	1
27	1	0	0	0	0	550	1	0	0	0	4	5000	1
28	1	0	0	0	0	564	1	0	0	0	4	5000	1
29	1	0	0	0	0	52	1	0	0	0	4	2000	1
30	1	0	0	0	0	538	1	0	0	0	4	6000	1
31	1	0	0	0	0	536	1	0	0	0	4	6000	1
32	1	0	0	0	0	537	1	0	0	0	4	6000	1
33	1	0	0	0	0	539	1	0	0	0	4	6000	1
34	1	0	0	0	0	540	1	0	0	0	4	6000	1
35	1	0	0	0	0	0	0	115	1	0	4	6000	1
36	1	0	0	0	0	0	0	117	1	0	4	6000	1
37	1	0	0	0	0	9	1	0	0	0	3	6000	1
38	1	0	0	0	0	10	1	0	0	0	3	6000	1
39	1	0	0	0	0	549	1	0	0	0	1	3000	1
40	2	0	0	0	0	272	1	0	0	0	5	200000	11
41	2	0	0	0	0	376	1	0	0	0	5	200000	11
42	2	0	0	0	0	400	1	0	0	0	5	200000	11
43	2	0	0	0	0	15	1	0	0	0	5	5000	1
44	2	0	0	0	0	16	1	0	0	0	5	8000	1
45	2	0	0	0	0	18	1	0	0	0	5	140000	1
46	2	0	0	0	0	19	1	0	0	0	5	200000	1
47	2	0	0	0	0	12	1	0	0	0	5	5000	1
