1	习得战术	2	1	1	32,-1,500|31,-1,100	-1	-1	-1	-1	22	累计使用1次突进	-1	3	0
2	嗜血成性	6	5	1	31,-1,80	-1	-1	-1	-1	23	累计击杀5名敌方玩家	-1	4	0
3	团队协作	10	5	1	32,-1,500|31,-1,200	-1	-1	-1	-1	24	累计使用或者响应召集令5次	-1	5	0
4	征战四方	3	3	1	32,-1,500|31,-1,200	-1	-1	-1	-1	25	累计占领3座据点	-1	6	0
5	嗜血成性	7	2	1	31,-1,80	-1	6	-1	-1	26	累计与龙虎门玩家交战2次	-1	4	3
6	嗜血成性	7	5	1	31,-1,80	5	7	-1	-1	-1	累计与龙虎门玩家交战5次	-1	4	3
7	嗜血成性	7	10	1	31,-1,120	6	8	-1	-1	-1	累计与龙虎门玩家交战10次	-1	4	3
8	嗜血成性	7	20	1	31,-1,120	7	9	-1	-1	-1	累计与龙虎门玩家交战20次	-1	4	3
9	嗜血成性	7	30	1	31,-1,160	8	10	-1	-1	-1	累计与龙虎门玩家交战30次	-1	4	3
10	嗜血成性	7	40	1	31,-1,160	9	-1	-1	-1	-1	累计与龙虎门玩家交战40次	-1	4	3
11	嗜血成性	8	2	1	31,-1,80	-1	12	-1	-1	27	累计与罗刹门玩家交战2次	-1	4	3
12	嗜血成性	8	5	1	31,-1,80	11	13	-1	-1	-1	累计与罗刹门玩家交战5次	-1	4	3
13	嗜血成性	8	10	1	31,-1,120	12	14	-1	-1	-1	累计与罗刹门玩家交战10次	-1	4	3
14	嗜血成性	8	20	1	31,-1,120	13	15	-1	-1	-1	累计与罗刹门玩家交战20次	-1	4	3
15	嗜血成性	8	30	1	31,-1,160	14	16	-1	-1	-1	累计与罗刹门玩家交战30次	-1	4	3
16	嗜血成性	8	40	1	31,-1,160	15	-1	-1	-1	-1	累计与罗刹门玩家交战40次	-1	4	3
17	嗜血成性	8	2	1	31,-1,80	-1	18	-1	-1	28	累计与罗刹门玩家交战2次	-1	4	1
18	嗜血成性	8	5	1	31,-1,80	17	19	-1	-1	-1	累计与罗刹门玩家交战5次	-1	4	1
19	嗜血成性	8	10	1	31,-1,120	18	20	-1	-1	-1	累计与罗刹门玩家交战10次	-1	4	1
20	嗜血成性	8	20	1	31,-1,120	19	21	-1	-1	-1	累计与罗刹门玩家交战20次	-1	4	1
21	嗜血成性	8	30	1	31,-1,160	20	22	-1	-1	-1	累计与罗刹门玩家交战30次	-1	4	1
22	嗜血成性	8	40	1	31,-1,160	21	-1	-1	-1	-1	累计与罗刹门玩家交战40次	-1	4	1
23	嗜血成性	9	2	1	31,-1,80	-1	24	-1	-1	29	累计与白莲教玩家交战2次	-1	4	1
24	嗜血成性	9	5	1	31,-1,80	23	25	-1	-1	-1	累计与白莲教玩家交战5次	-1	4	1
25	嗜血成性	9	10	1	31,-1,120	24	26	-1	-1	-1	累计与白莲教玩家交战10次	-1	4	1
26	嗜血成性	9	20	1	31,-1,120	25	27	-1	-1	-1	累计与白莲教玩家交战20次	-1	4	1
27	嗜血成性	9	30	1	31,-1,160	26	28	-1	-1	-1	累计与白莲教玩家交战30次	-1	4	1
28	嗜血成性	9	40	1	31,-1,160	27	-1	-1	-1	-1	累计与白莲教玩家交战40次	-1	4	1
29	嗜血成性	7	2	1	31,-1,80	-1	30	-1	-1	30	累计与龙虎门玩家交战2次	-1	4	2
30	嗜血成性	7	5	1	31,-1,80	28	31	-1	-1	-1	累计与龙虎门玩家交战5次	-1	4	2
31	嗜血成性	7	10	1	31,-1,120	29	32	-1	-1	-1	累计与龙虎门玩家交战10次	-1	4	2
32	嗜血成性	7	20	1	31,-1,120	30	33	-1	-1	-1	累计与龙虎门玩家交战20次	-1	4	2
33	嗜血成性	7	30	1	31,-1,160	31	34	-1	-1	-1	累计与龙虎门玩家交战30次	-1	4	2
34	嗜血成性	7	40	1	31,-1,160	32	-1	-1	-1	-1	累计与龙虎门玩家交战40次	-1	4	2
35	嗜血成性	9	2	1	31,-1,80	-1	36	-1	-1	31	累计与白莲教玩家交战2次	-1	4	2
36	嗜血成性	9	5	1	31,-1,80	35	37	-1	-1	-1	累计与白莲教玩家交战5次	-1	4	2
37	嗜血成性	9	10	1	31,-1,120	36	38	-1	-1	-1	累计与白莲教玩家交战10次	-1	4	2
38	嗜血成性	9	20	1	31,-1,120	37	39	-1	-1	-1	累计与白莲教玩家交战20次	-1	4	2
39	嗜血成性	9	30	1	31,-1,160	38	40	-1	-1	-1	累计与白莲教玩家交战30次	-1	4	2
40	嗜血成性	9	40	1	31,-1,160	39	-1	-1	-1	-1	累计与白莲教玩家交战40次	-1	4	2
41	荣誉第一	4	200	1	31,-1,100	-1	42	-1	-1	32	累计获得200荣誉值       	-1	7	0
42	荣誉第一	4	400	1	31,-1,100	41	43	-1	-1	-1	累计获得400荣誉值       	-1	7	0
43	荣誉第一	4	800	1	31,-1,100	42	44	-1	-1	-1	累计获得800荣誉值       	-1	7	0
44	荣誉第一	4	1200	1	31,-1,100	43	45	-1	-1	-1	累计获得1200荣誉值       	-1	7	0
45	荣誉第一	4	2000	1	31,-1,100	44	46	-1	-1	-1	累计获得2000荣誉值       	-1	7	0
46	荣誉第一	4	3000	1	31,-1,100	45	47	-1	-1	-1	累计获得3000荣誉值       	-1	7	0
47	荣誉第一	4	4000	1	31,-1,100	46	48	-1	-1	-1	累计获得4000荣誉值       	-1	7	0
48	荣誉第一	4	5000	1	31,-1,100	47	-1	-1	-1	-1	累计获得5000荣誉值       	-1	7	0
49	一夫当关	5	2	1	31,-1,80	-1	50	-1	-1	33	达成2连斩         	-1	8	0
50	一夫当关	5	5	1	31,-1,100	49	51	-1	-1	-1	达成5连斩         	-1	8	0
51	一夫当关	5	10	1	31,-1,120	50	52	-1	-1	-1	达成10连斩         	-1	8	0
52	一夫当关	5	15	1	31,-1,140	51	53	-1	-1	-1	达成15连斩         	-1	8	0
53	一夫当关	5	20	1	31,-1,160	52	54	-1	-1	-1	达成20连斩         	-1	8	0
54	一夫当关	5	30	1	31,-1,180	53	55	-1	-1	-1	达成30连斩         	-1	8	0
55	一夫当关	5	40	1	31,-1,200	54	-1	-1	-1	-1	达成40连斩         	-1	8	0
56	占领圣母堂	1	72	0	31,-1,300	-1	-1	0	900	1	占有圣母堂，并坚守到20:15	-1	1	1
57	占领亡神之潮	1	73	0	31,-1,300	-1	-1	0	900	1	占有亡神之潮，并坚守到20:15	-1	1	1
58	占领绝世小筑	1	67	0	31,-1,300	-1	-1	0	900	1	占有绝世小筑，并坚守到20:15	-1	1	1
59	占领邪拳道场	1	74	0	31,-1,200	-1	-1	0	900	2	在其他国家之前占领邪拳道场	-1	1	1
60	防守北帝庙	1	21	0	31,-1,300	-1	-1	900	1800	3	占有北帝庙，并坚守到20:30	-1	1	1
61	攻占猛兽林	1	22	0	31,-1,300	-1	-1	900	1800	4	占有猛兽林，并坚守到20:30	-1	1	1
