1	111	103	103	-1	-1
2	122	104	104	-1	-1
3	133	105	105	-1	-1
4	144	106	106	-1	-1
5	155	107	107	-1	-1
6	166	108	108	-1	-1
7	177	109	109	-1	-1
8	188	110	110	-1	-1
9	199	111	111	-1	-1
10	210	112	112	-1	-1
11	221	113	113	-1	-1
12	232	114	114	-1	-1
13	243	115	115	-1	-1
14	254	116	116	-1	-1
15	265	117	117	-1	-1
16	276	118	118	-1	-1
17	287	119	119	-1	-1
18	298	120	120	-1	-1
19	309	121	121	-1	-1
20	320	122	122	-1	-1
21	331	123	123	-1	-1
22	342	124	124	-1	-1
23	353	125	125	-1	-1
24	364	126	126	-1	-1
25	375	127	127	-1	-1
26	386	128	128	-1	-1
27	397	129	129	-1	-1
28	408	130	130	-1	-1
29	419	131	131	-1	-1
30	430	132	132	-1	-1
31	441	133	133	-1	-1
32	452	134	134	-1	-1
33	463	135	135	-1	-1
34	474	136	136	-1	-1
35	485	137	137	-1	-1
36	496	138	138	-1	-1
37	507	139	139	-1	-1
38	518	140	140	-1	-1
39	527	141	141	-1	-1
40	536	142	142	-1	-1
41	545	143	143	-1	-1
42	554	144	144	-1	-1
43	563	145	145	-1	-1
44	572	146	146	-1	-1
45	581	147	147	-1	-1
46	590	148	148	-1	-1
47	599	149	149	-1	-1
48	608	150	150	-1	-1
49	617	151	151	-1	-1
50	626	152	152	-1	-1
51	644	153	153	-1	-1
52	653	154	154	-1	-1
53	671	155	155	-1	-1
54	680	156	156	-1	-1
55	689	157	157	-1	-1
56	698	158	158	-1	-1
57	707	159	159	-1	-1
58	716	160	160	-1	-1
59	725	161	161	-1	-1
60	734	162	162	-1	-1
61	743	163	163	-1	-1
62	752	164	164	-1	-1
63	761	165	165	-1	-1
64	770	166	166	-1	-1
65	779	167	167	-1	-1
66	788	168	168	-1	-1
67	797	169	169	-1	-1
68	806	170	170	-1	-1
69	815	171	171	-1	-1
70	824	172	172	-1	-1
71	842	173	173	-1	-1
72	848	174	174	-1	-1
73	866	175	175	-1	-1
74	914	176	176	-1	-1
75	932	177	177	-1	-1
76	968	178	178	-1	-1
77	980	179	179	-1	-1
78	1034	180	180	-1	-1
79	1040	181	181	-1	-1
80	1046	182	182	-1	-1
81	1058	183	183	-1	-1
82	1064	184	184	-1	-1
83	1082	185	185	-1	-1
84	1106	186	186	-1	-1
85	1112	187	187	-1	-1
86	1130	188	188	-1	-1
87	1136	189	189	-1	-1
88	1187	209	209	-1	-1
89	1203	210	210	-1	-1
90	1219	211	211	-1	-1
91	1235	212	212	-1	-1
92	1251	213	213	-1	-1
93	1267	214	214	-1	-1
94	1283	215	215	-1	-1
95	1299	216	216	-1	-1
