1	1	25	1,-1,5400000	2,-1,5400	2,-1,2700	5	1000
2	1	25	6,31,30	2,-1,750	2,-1,750	-1	1000
3	1	25	6,10,675	2,-1,10125	2,-1,1500	1.5	1000
4	1	25	4,-1,1000	2,-1,1000	2,-1,350	3.5	1000
5	1	25	6,249,20	2,-1,750	2,-1,600	8	1000
6	1	25	6,250,20	2,-1,750	2,-1,600	8	1000
7	1	25	6,245,30	2,-1,1000	2,-1,800	8	1200
8	1	25	6,246,30	2,-1,1000	2,-1,800	8	1200
9	1	25	6,247,30	2,-1,1000	2,-1,800	8	1200
10	1	25	6,248,30	2,-1,1000	2,-1,800	8	1200
11	1	25	6,9,150	2,-1,3000	2,-1,1500	5	1000
12	1	25	6,5,750	2,-1,3750	2,-1,1125	3	1000
13	1	25	5,-1,2000	2,-1,2000	2,-1,1000	5	1000
14	2	25	1,-1,6000000	2,-1,6000	2,-1,3000	5	1000
15	2	25	6,31,20	2,-1,500	2,-1,500	-1	1000
16	2	25	6,10,300	2,-1,4500	2,-1,675	1.5	1000
17	2	25	4,-1,1000	2,-1,1000	2,-1,500	5	1000
18	2	25	6,5,750	2,-1,3750	2,-1,1875	5	1000
19	2	25	6,698,1	2,-1,2500	2,-1,1250	5	1000
20	2	25	6,698,1	2,-1,2500	2,-1,750	3	1000
21	2	25	6,9,300	2,-1,6000	2,-1,1800	3	1000
22	2	25	6,2,400	2,-1,400	2,-1,320	8	1000
23	2	25	6,11,800	2,-1,2400	2,-1,1200	5	1000
24	2	25	6,11,1500	2,-1,4500	2,-1,2250	5	1000
25	2	25	5,-1,2000	2,-1,2000	2,-1,700	3.5	1000
26	2	25	6,697,2	2,-1,1376	2,-1,412	3	1000
27	2	25	6,18,25	2,-1,1250	2,-1,562	4.5	700
28	2	25	6,16,25	2,-1,1250	2,-1,750	6	700
29	3	20	6,31,20	1,-1,500000	1,-1,500000	-1	1000
30	3	20	6,11,200	1,-1,600000	1,-1,300000	5	1000
31	3	20	6,9,25	18,-1,5000	18,-1,2500	5	1000
32	3	20	6,650,1	1,-1,1500000	1,-1,750000	5	800
33	3	20	6,650,1	5,-1,1000	5,-1,500	5	800
34	3	20	6,5,100	1,-1,500000	1,-1,250000	5	1000
35	3	20	6,651,1	5,-1,1000	5,-1,500	5	800
36	3	20	6,87,5	5,-1,675	5,-1,337	5	1000
37	3	20	6,88,5	5,-1,675	5,-1,337	5	1000
38	3	20	6,89,5	5,-1,675	5,-1,337	5	1000
39	3	20	6,90,5	5,-1,675	5,-1,337	5	1000
40	3	20	1,-1,3000000	5,-1,3000	5,-1,1200	4	1000
41	3	20	6,697,1	5,-1,700	5,-1,350	5	1000
42	3	20	6,652,1	28,-1,15000	28,-1,7500	5	800
43	4	10	6,31,10	2,-1,250	2,-1,250	-1	1000
44	4	10	6,3,10	2,-1,200	2,-1,140	7	1000
45	4	10	6,696,1	2,-1,152	2,-1,91	6	1000
46	4	10	6,249,16	2,-1,600	2,-1,240	4	1200
47	4	10	6,250,16	2,-1,600	2,-1,240	4	1200
48	4	10	6,35,1	2,-1,240	2,-1,192	8	1000
49	4	10	6,11,80	2,-1,150	2,-1,120	8	1000
50	5	10	6,18,3	2,-1,160	2,-1,128	8	1000
51	5	10	6,655,4	2,-1,200	2,-1,120	6	1000
52	5	10	6,9,10	2,-1,260	2,-1,130	5	1000
53	5	10	6,63,2	2,-1,250	2,-1,150	6	1000
54	5	10	6,5,50	2,-1,800	2,-1,400	5	1000
55	5	10	1,-1,800000	2,-1,150	2,-1,120	8	1000
56	5	10	6,16,3	2,-1,500	2,-1,200	4	1200
57	6	10	6,16,10	2,-1,270	2,-1,135	5	1000
58	6	10	6,87,2	2,-1,270	2,-1,135	5	1000
59	6	10	6,88,2	2,-1,270	2,-1,135	5	1000
60	6	10	6,89,2	2,-1,270	2,-1,135	5	1000
61	6	10	6,90,2	2,-1,300	2,-1,150	5	1200
62	6	10	6,10,20	2,-1,600	2,-1,240	4	1200
63	6	10	6,10,40	2,-1,400	2,-1,200	5	1000
64	6	10	6,2,100	2,-1,100	2,-1,60	6	1000
