1	1,-1,10000	300	1	49
2	6,564,1	600	1	49
3	1,-1,10000	900	1	49
4	7,51,1	1200	1	49
5	1,-1,10000	1500	1	49
6	6,33,1	1800	1	49
7	1,-1,10000	4500	1	49
8	6,564,1	5100	1	49
9	1,-1,10000	5700	1	49
10	7,51,1	6300	1	49
11	1,-1,10000	6900	1	49
12	6,33,1	7500	1	49
13	1,-1,15000	12900	1	49
14	6,564,1	13900	1	49
15	1,-1,15000	14900	1	49
16	6,10,10	15900	1	49
17	1,-1,15000	16900	1	49
18	6,33,1	17900	1	49
19	1,-1,15000	34900	1	49
20	6,564,1	36700	1	49
21	1,-1,15000	38500	1	49
22	6,10,10	40300	1	49
23	1,-1,15000	42100	1	49
24	6,33,1	43900	1	49
25	1,-1,25000	67100	1	49
26	6,564,1	69600	1	49
27	1,-1,25000	72100	1	49
28	6,10,10	74600	1	49
29	1,-1,25000	77100	1	49
30	6,33,1	79600	1	49
31	1,-1,25000	117100	1	49
32	7,51,1	121100	1	49
33	1,-1,25000	125100	1	49
34	6,10,10	129100	1	49
35	1,-1,25000	133100	1	49
36	6,33,1	137100	1	49
37	1,-1,30000	213100	1	49
38	7,51,1	221100	1	49
39	1,-1,30000	229100	1	49
40	6,10,10	237100	1	49
41	1,-1,30000	245100	1	49
42	6,10,10	263100	1	49
43	1,-1,20000	1800	50	64
44	6,564,1	3600	50	64
45	1,-1,20000	5400	50	64
46	7,51,1	7200	50	64
47	1,-1,20000	9000	50	64
48	6,33,1	10800	50	64
49	1,-1,20000	27000	50	64
50	6,564,1	29200	50	64
51	1,-1,20000	31400	50	64
52	7,51,1	33600	50	64
53	1,-1,20000	35800	50	64
54	6,33,1	38000	50	64
55	1,-1,25000	57800	50	64
56	6,564,1	60800	50	64
57	1,-1,25000	63800	50	64
58	6,10,15	66800	50	64
59	1,-1,25000	69800	50	64
60	6,33,1	72800	50	64
61	1,-1,25000	109800	50	64
62	6,564,1	113800	50	64
63	1,-1,25000	117800	50	64
64	6,10,15	121800	50	64
65	1,-1,25000	125800	50	64
66	6,33,1	129800	50	64
67	1,-1,35000	185800	50	64
68	6,564,1	191800	50	64
69	1,-1,35000	197800	50	64
70	6,10,15	203800	50	64
71	1,-1,35000	209800	50	64
72	6,33,1	215800	50	64
73	1,-1,35000	309800	50	64
74	7,51,1	319800	50	64
75	1,-1,35000	329800	50	64
76	6,10,15	339800	50	64
77	1,-1,35000	349800	50	64
78	6,33,1	359800	50	64
79	1,-1,40000	549800	50	64
80	7,51,1	569800	50	64
81	1,-1,40000	589800	50	64
82	6,10,15	609800	50	64
83	1,-1,40000	629800	50	64
84	6,10,15	649800	50	64
85	1,-1,25000	4000	65	74
86	6,564,1	8000	65	74
87	1,-1,25000	12000	65	74
88	7,51,1	16000	65	74
89	1,-1,25000	20000	65	74
90	6,33,1	24000	65	74
91	1,-1,25000	60000	65	74
92	6,564,1	66000	65	74
93	1,-1,25000	72000	65	74
94	7,51,1	78000	65	74
95	1,-1,25000	84000	65	74
96	6,33,1	90000	65	74
97	1,-1,30000	144000	65	74
98	6,564,1	152000	65	74
99	1,-1,30000	160000	65	74
100	6,10,18	168000	65	74
101	1,-1,30000	176000	65	74
102	6,33,1	184000	65	74
103	1,-1,30000	276000	65	74
104	6,564,1	286000	65	74
105	1,-1,30000	296000	65	74
106	6,10,18	306000	65	74
107	1,-1,30000	316000	65	74
108	6,33,1	326000	65	74
109	1,-1,40000	466000	65	74
110	6,564,1	481000	65	74
111	1,-1,40000	496000	65	74
112	6,10,18	511000	65	74
113	1,-1,40000	526000	65	74
114	6,33,1	536000	65	74
115	1,-1,40000	726000	65	74
116	7,51,1	746000	65	74
117	1,-1,40000	766000	65	74
118	6,10,18	786000	65	74
119	1,-1,40000	806000	65	74
120	6,33,1	826000	65	74
121	1,-1,45000	1206000	65	74
122	7,51,1	1246000	65	74
123	1,-1,45000	1286000	65	74
124	6,10,18	1326000	65	74
125	1,-1,45000	1366000	65	74
126	6,10,18	1406000	65	74
127	1,-1,30000	10000	75	999
128	6,564,1	20000	75	999
129	1,-1,30000	30000	75	999
130	7,51,1	40000	75	999
131	1,-1,30000	50000	75	999
132	6,33,1	60000	75	999
133	1,-1,30000	160000	75	999
134	6,564,1	175000	75	999
135	1,-1,30000	190000	75	999
136	7,51,1	205000	75	999
137	1,-1,30000	220000	75	999
138	6,33,1	370000	75	999
139	1,-1,35000	390000	75	999
140	6,564,1	410000	75	999
141	1,-1,35000	430000	75	999
142	6,10,20	450000	75	999
143	1,-1,35000	700000	75	999
144	6,33,1	725000	75	999
145	1,-1,35000	750000	75	999
146	6,564,1	775000	75	999
147	1,-1,35000	800000	75	999
148	6,10,20	1050000	75	999
149	1,-1,35000	1080000	75	999
150	6,33,1	1110000	75	999
151	1,-1,45000	1140000	75	999
152	6,564,1	1170000	75	999
153	1,-1,45000	1470000	75	999
154	6,10,20	1510000	75	999
155	1,-1,45000	1550000	75	999
156	6,33,1	1590000	75	999
157	1,-1,45000	1630000	75	999
158	7,51,1	2030000	75	999
159	1,-1,45000	2080000	75	999
160	6,10,20	2130000	75	999
161	1,-1,45000	2180000	75	999
162	6,33,1	2230000	75	999
163	1,-1,50000	2730000	75	999
164	7,51,1	2830000	75	999
165	1,-1,50000	2930000	75	999
166	6,10,20	3030000	75	999
167	1,-1,50000	3130000	75	999
168	6,10,20	4130000	75	999
169	7,51,1	4430000	75	999
170	1,-1,50000	4730000	75	999
171	6,10,20	5030000	75	999
172	7,51,1	5330000	75	999
173	1,-1,50000	8330000	75	999
174	6,10,20	9330000	75	999
175	1,-1,50000	9830000	75	999
