1	1	-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
2	2	-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
3	3	-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
4	4	-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
5	5	-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
6	6	-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
7	7	-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
8	8	-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
9	9	-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
10	10	-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
11	11	-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
12	12	-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
13	13	-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
14	14	-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
15	15	-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
16	16	-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
17	17	-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
18	18	-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
19	19	-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
20	20	-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
21	21	10,15|0,10|-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
22	22	10,15|0,10|-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
23	23	10,15|0,10|-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
24	24	10,15|0,10|-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
25	25	10,15|0,10|-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
26	26	10,15|0,10|-5,10|-10,10|-10,8|-15,8|-20,5|-25,5|-30,5|-35,5|-40,5|-45,5|-50,0|-60,0|-70,0|-80,0|-90,0|-100,0
