1	资金	0	2	1616	1	0	5万-380万	攻击我能获得资金，对我的伤害越高，获得的奖励越多哦！	0	1,50000|200000,100000|400000,200000|600000,300000|800000,400000|1000000,500000|1200000,630000|1500000,1250000|2000000,1880000|2500000,2500000|3000000,3120000|4000000,3750000	伤害值	额外获得资金	50000	4	0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0
2	铜经验兽	0	1	1617	6	563	2个-10个	攻击我能获得铜经验兽，能在我手下坚持越久，奖励越高哦！	1	1,2|2,3|3,4|4,5|6,7|8,8|10,9|12,10	回合数	额外获得铜经验兽	0	20	100,100,100,100,100,100,100,100	100,100,100,100,100,100,100,100
3	经验宝物	2	3	1618	7	50	2个-10个	攻击我能获得初级经验宝物，能在我手下坚持越久，奖励越高哦！	1	1,2|2,3|3,4|4,5|6,7|8,8|10,9|12,10	回合数	额外获得初级经验宝物	0	20	100,100,100,100,100,100,100,100	100,100,100,100,100,100,100,100
4	突破石	3	4	1619	6	2	40个-200个	攻击我能获得突破石，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,4|50000,8|150000,12|300000,16|450000,22|600000,28|900000,34|1500000,40	伤害值	额外获得突破石	40	4	0,250,250,300,300,300,300,300,300	0,0,0,0,0,0,0,0,0
5	培养液	5	5	1620	6	4	20个-100个	攻击我能获得培养液，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得培养液	20	4	0,250,250,300,300,300,300,300,300	0,0,0,0,0,0,0,0,0
6	装备精练	6	6	1621	6	6	20个-100个	攻击我能获得初级精炼书，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得初级精炼书	20	4	0,250,250,300,300,300,300,300,300	0,0,0,0,0,0,0,0,0
7	宝物精练	7	7	1622	6	5	20个-100个	攻击我能获得宝物精练书，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得宝物精练书	20	4	0,250,250,300,300,300,300,300,300	0,0,0,0,0,0,0,0,0
8	芯片	8	8	1623	6	10	20个-100个	攻击我能获得芯片，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得芯片	20	4	0,250,250,300,300,300,300,300,300	0,0,0,0,0,0,0,0,0
9	日常副本	99	1	1624	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
10	日常副本	99	1	1625	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
11	日常副本	99	1	1626	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
12	日常副本	99	1	1627	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
13	日常副本	99	1	1628	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
14	日常副本	99	1	1629	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
15	日常副本	99	1	1630	6	1	20个-100个	攻击我能获得【】，对我的伤害越高，获得的奖励越多哦！	0	1,0|20000,2|50000,4|150000,6|300000,8|450000,10|600000,12|900000,16|1500000,20	伤害值	额外获得	1	1	0,100,100,100,100,100,100,100,100	0,0,0,0,0,0,0,0,0
