1	0	40	100	80
2	1	35	200	160
3	2	30	300	240
4	3	25	400	320
5	4	20	600	480
6	5	15	800	640
7	6	12.5	1000	800
8	7	10	1250	1000
9	8	7.5	1500	1200
10	9	6.25	1750	1400
11	10	5	2200	1760
12	11	4.625	2700	2160
13	12	3.845	3250	2600
14	13	3.245	3850	3080
15	14	2.775	4500	3600
16	15	2.4	5200	4160
17	16	2.1	5950	4760
18	17	1.85	6750	5400
19	18	1.64	7600	6080
20	19	1.47	8500	6800
21	20	1.32	9450	7560
22	21	1.195	10450	8360
23	22	1.085	11500	9200
24	23	0.99	12600	10080
25	24	0.905	13750	11000
26	25	0.835	14950	11960
27	26	0.77	16200	12960
28	27	0.71	17500	14000
29	28	0.66	18850	15080
30	29	0.615	20250	16200
31	30	0.575	21700	17360
32	31	0.535	23200	18560
33	32	0.505	24750	19800
34	33	0.5	26350	21080
35	34	0.5	28000	22400
36	35	0.5	29700	23760
37	36	0.5	31450	25160
38	37	0.5	33250	26600
39	38	0.5	35100	28080
40	39	0.5	37000	29600
41	40	0.5	38950	31160
42	41	0.5	40950	32760
43	42	0.5	43000	34400
44	43	0.5	45100	36080
45	44	0.5	47250	37800
46	45	0.5	49450	39560
47	46	0.5	51700	41360
48	47	0.5	54000	43200
49	48	0.5	56350	45080
50	49	0.5	58750	47000
51	50	0	0	0
