1	1	1	99999999	99999999
2	1	2	99999999	199999998
3	1	3	99999999	299999997
4	1	4	99999999	399999996
5	1	5	99999999	499999995
6	1	6	99999999	599999994
7	1	7	99999999	699999993
8	1	8	99999999	799999992
9	1	9	99999999	899999991
10	1	10	99999999	999999990
11	2	1	76	76
12	2	2	152	228
13	2	3	228	456
14	2	4	306	762
15	2	5	382	1144
16	2	6	458	1602
17	2	7	536	2138
18	2	8	612	2750
19	2	9	688	3438
20	2	10	766	4204
21	2	11	842	5046
22	2	12	918	5964
23	2	13	996	6960
24	2	14	1072	8032
25	2	15	1148	9180
26	2	16	1307	10487
27	2	17	1476	11963
28	2	18	1655	13618
29	2	19	1843	15461
30	2	20	2042	17503
31	2	21	2252	19755
32	2	22	2472	22227
33	2	23	2702	24929
34	2	24	2942	27871
35	2	25	3192	31063
36	2	26	3453	34516
37	2	27	3723	38239
38	2	28	4005	42244
39	2	29	4296	46540
40	2	30	4597	51137
41	2	31	4908	56045
42	2	32	5231	61276
43	2	33	5563	66839
44	2	34	5905	72744
45	2	35	6258	79002
46	2	36	6621	85623
47	2	37	6993	92616
48	2	38	7377	99993
49	2	39	7770	107763
50	2	40	8173	115936
51	2	41	8587	124523
52	2	42	9012	133535
53	2	43	9446	142981
54	2	44	9891	152872
55	2	45	10345	163217
56	2	46	10810	174027
57	2	47	11285	185312
58	2	48	11771	197083
59	2	49	12266	209349
60	2	50	12772	222121
61	2	51	13288	235409
62	2	52	13815	249224
63	2	53	14351	263575
64	2	54	14897	278472
65	2	55	15455	293927
66	2	56	16021	309948
67	2	57	16598	326546
68	2	58	17186	343732
69	2	59	17785	361517
70	2	60	18392	379909
71	2	61	19011	398920
72	2	62	19638	418558
73	2	63	20277	438835
74	2	64	20926	459761
75	2	65	21586	481347
76	2	66	22255	503602
77	2	67	22935	526537
78	2	68	23623	550160
79	2	69	24323	574483
80	2	70	25035	599518
81	2	71	25755	625273
82	2	72	26485	651758
83	2	73	27226	678984
84	2	74	27977	706961
85	2	75	28738	735699
86	2	76	29510	765209
87	2	77	30291	795500
88	2	78	31083	826583
89	2	79	31886	858469
90	2	80	32698	891167
91	2	81	33521	924688
92	2	82	34353	959041
93	2	83	35196	994237
94	2	84	36050	1030287
95	2	85	36913	1067200
96	2	86	37787	1104987
97	2	87	38671	1143658
98	2	88	39565	1183223
99	2	89	40468	1223691
100	2	90	41383	1265074
101	2	91	42308	1307382
102	2	92	43243	1350625
103	2	93	44188	1394813
104	2	94	45143	1439956
105	2	95	46110	1486066
106	2	96	47086	1533152
107	2	97	48071	1581223
108	2	98	49067	1630290
109	2	99	50075	1680365
110	2	100	51091	1731456
111	3	1	61	61
112	3	2	122	183
113	3	3	183	366
114	3	4	245	611
115	3	5	306	917
116	3	6	367	1284
117	3	7	429	1713
118	3	8	490	2203
119	3	9	551	2754
120	3	10	613	3367
121	3	11	674	4041
122	3	12	735	4776
123	3	13	797	5573
124	3	14	858	6431
125	3	15	919	7350
126	3	16	1046	8396
127	3	17	1181	9577
128	3	18	1324	10901
129	3	19	1475	12376
130	3	20	1634	14010
131	3	21	1802	15812
132	3	22	1978	17790
133	3	23	2162	19952
134	3	24	2354	22306
135	3	25	2554	24860
136	3	26	2763	27623
137	3	27	2979	30602
138	3	28	3204	33806
139	3	29	3437	37243
140	3	30	3678	40921
141	3	31	3927	44848
142	3	32	4185	49033
143	3	33	4451	53484
144	3	34	4724	58208
145	3	35	5007	63215
146	3	36	5297	68512
147	3	37	5595	74107
148	3	38	5902	80009
149	3	39	6216	86225
150	3	40	6539	92764
151	3	41	6870	99634
152	3	42	7210	106844
153	3	43	7557	114401
154	3	44	7913	122314
155	3	45	8276	130590
